16
0,1,1
1,0,1
0,4,1
4,0,1
1,2,1
2,1,1
1,0,1
0,1,1
1,5,1
5,1,1
2,3,1
3,2,1
2,1,1
1,2,1
2,6,1
6,2,1
3,2,1
2,3,1
4,5,1
5,4,1
4,0,1
0,4,1
4,8,1
8,4,1
5,6,1
6,5,1
5,4,1
4,5,1
5,1,1
1,5,1
5,9,1
9,5,1
6,7,1
7,6,1
6,5,1
5,6,1
6,2,1
2,6,1
6,10,1
10,6,1
7,6,1
6,7,1
7,3,1
3,7,1
8,9,1
9,8,1
8,4,1
4,8,1
8,12,1
12,8,1
9,10,1
10,9,1
9,8,1
8,9,1
9,5,1
5,9,1
9,13,1
13,9,1
10,11,1
11,10,1
10,9,1
9,10,1
10,6,1
6,10,1
10,14,1
14,10,1
11,10,1
10,11,1
11,7,1
7,11,1
12,13,1
13,12,1
12,8,1
8,12,1
12,16,1
16,12,1
13,14,1
14,13,1
13,12,1
12,13,1
13,9,1
9,13,1
13,17,1
17,13,1
14,15,1
15,14,1
14,13,1
13,14,1
14,10,1
10,14,1
14,18,1
18,14,1
15,14,1
14,15,1
15,11,1
11,15,1
