VERTEX,minute
77,0
85,0
96,0
94,0
87,0
76,1
81,1
94,1
75,1
81,1
76,2
75,2
96,2
84,2
82,2
76,3
85,3
83,3
76,3
84,3
81,4
88,4
82,4
76,4
79,4
82,5
90,5
98,5
90,5
96,5
77,6
97,6
88,6
76,6
89,6
80,7
95,7
82,7
87,7
78,7
86,8
82,8
89,8
85,8
98,8
95,9
86,9
93,9
89,9
94,9
83,10
82,10
81,10
75,10
76,10
83,11
83,11
77,11
97,11
93,11
78,12
88,12
86,12
76,12
80,12
81,13
87,13
98,13
96,13
80,13
79,14
87,14
99,14
96,14
91,14
81,15
93,15
90,15
96,15
81,15
80,16
78,16
79,16
95,16
84,16
89,17
87,17
98,17
92,17
93,17
79,18
86,18
99,18
80,18
96,18
80,19
94,19
80,19
93,19
83,19
97,20
92,20
95,20
83,20
83,20
82,21
97,21
84,21
86,21
89,21
79,22
98,22
85,22
78,22
84,22
76,23
84,23
80,23
95,23
99,23
78,24
96,24
78,24
85,24
78,24
78,25
76,25
86,25
95,25
80,25
95,26
91,26
78,26
86,26
79,26
92,27
96,27
78,27
88,27
90,27
83,28
83,28
89,28
83,28
75,28
96,29
79,29
79,29
83,29
80,29
99,30
95,30
80,30
75,30
94,30
92,31
98,31
86,31
91,31
94,31
82,32
81,32
90,32
94,32
98,32
90,33
79,33
87,33
76,33
94,33
78,34
94,34
85,34
81,34
89,34
93,35
75,35
86,35
91,35
90,35
99,36
79,36
86,36
87,36
99,36
84,37
85,37
92,37
80,37
92,37
93,38
76,38
81,38
96,38
76,38
98,39
94,39
97,39
85,39
91,39
81,40
78,40
95,40
82,40
82,40
78,41
86,41
96,41
80,41
81,41
88,42
95,42
97,42
96,42
98,42
91,43
87,43
88,43
86,43
81,43
92,44
85,44
98,44
76,44
76,44
96,45
96,45
88,45
89,45
84,45
78,46
85,46
80,46
97,46
79,46
91,47
98,47
95,47
77,47
86,47
91,48
80,48
99,48
97,48
98,48
94,49
96,49
84,49
85,49
88,49
96,50
84,50
90,50
78,50
78,50
93,51
76,51
89,51
92,51
92,51
91,52
76,52
83,52
91,52
83,52
90,53
92,53
87,53
89,53
76,53
88,54
75,54
75,54
79,54
77,54
76,55
88,55
93,55
87,55
77,55
87,56
93,56
85,56
93,56
97,56
99,57
80,57
75,57
88,57
98,57
82,58
76,58
95,58
76,58
88,58
84,59
81,59
75,59
76,59
81,59
82,60
77,60
88,60
97,60
86,60
86,61
94,61
99,61
87,61
82,61
99,62
76,62
94,62
82,62
92,62
75,63
90,63
85,63
92,63
87,63
92,64
85,64
87,64
75,64
96,64
98,65
99,65
84,65
95,65
90,65
97,66
95,66
81,66
84,66
81,66
97,67
89,67
75,67
82,67
76,67
97,68
88,68
77,68
86,68
85,68
80,69
84,69
83,69
86,69
98,69
88,70
99,70
97,70
93,70
90,70
94,71
94,71
99,71
98,71
92,71
94,72
75,72
88,72
83,72
82,72
80,73
88,73
86,73
99,73
86,73
85,74
96,74
81,74
98,74
85,74
77,75
80,75
87,75
86,75
83,75
91,76
96,76
77,76
88,76
99,76
99,77
93,77
87,77
96,77
86,77
81,78
83,78
89,78
87,78
80,78
99,79
94,79
83,79
91,79
98,79
79,80
91,80
85,80
81,80
80,80
82,81
82,81
83,81
79,81
92,81
96,82
76,82
88,82
79,82
84,82
94,83
86,83
95,83
77,83
75,83
98,84
99,84
83,84
93,84
98,84
77,85
98,85
76,85
84,85
97,85
86,86
82,86
93,86
99,86
75,86
79,87
89,87
93,87
97,87
95,87
83,88
97,88
99,88
80,88
97,88
96,89
84,89
81,89
77,89
94,89
99,90
86,90
96,90
97,90
88,90
94,91
82,91
92,91
95,91
77,91
94,92
84,92
84,92
81,92
82,92
97,93
97,93
82,93
91,93
87,93
79,94
90,94
87,94
75,94
86,94
85,95
99,95
90,95
89,95
96,95
88,96
86,96
99,96
90,96
93,96
98,97
92,97
96,97
93,97
89,97
91,98
99,98
78,98
87,98
76,98
96,99
96,99
89,99
85,99
97,99
81,100
86,100
88,100
81,100
89,100
87,101
93,101
95,101
97,101
87,101
75,102
75,102
83,102
96,102
75,102
83,103
97,103
94,103
95,103
99,103
82,104
89,104
89,104
78,104
90,104
93,105
81,105
78,105
84,105
86,105
98,106
87,106
85,106
87,106
87,106
91,107
76,107
85,107
75,107
94,107
96,108
86,108
83,108
99,108
96,108
75,109
80,109
75,109
82,109
86,109
85,110
97,110
86,110
87,110
99,110
87,111
82,111
97,111
85,111
99,111
80,112
88,112
82,112
85,112
87,112
81,113
96,113
96,113
91,113
99,113
86,114
95,114
94,114
87,114
97,114
99,115
94,115
76,115
95,115
82,115
84,116
81,116
88,116
90,116
90,116
82,117
86,117
80,117
93,117
94,117
84,118
91,118
82,118
96,118
84,118
79,119
83,119
86,119
78,119
80,119
83,120
81,120
79,120
92,120
79,120
96,121
87,121
80,121
88,121
97,121
97,122
91,122
83,122
98,122
91,122
79,123
93,123
97,123
79,123
86,123
75,124
76,124
85,124
94,124
84,124
90,125
96,125
96,125
79,125
98,125
89,126
88,126
92,126
99,126
78,126
92,127
80,127
96,127
75,127
95,127
78,128
88,128
88,128
90,128
80,128
92,129
92,129
88,129
93,129
75,129
91,130
88,130
85,130
78,130
82,130
76,131
91,131
93,131
83,131
79,131
84,132
98,132
96,132
95,132
99,132
88,133
90,133
85,133
78,133
87,133
95,134
76,134
78,134
79,134
86,134
77,135
87,135
96,135
99,135
89,135
77,136
92,136
98,136
97,136
84,136
78,137
90,137
86,137
92,137
77,137
97,138
90,138
96,138
79,138
80,138
89,139
78,139
92,139
83,139
94,139
79,140
99,140
77,140
98,140
95,140
93,141
85,141
83,141
90,141
87,141
95,142
79,142
93,142
99,142
85,142
78,143
96,143
83,143
88,143
83,143
99,144
97,144
97,144
96,144
81,144
91,145
81,145
89,145
79,145
89,145
90,146
89,146
92,146
92,146
90,146
86,147
91,147
80,147
79,147
84,147
84,148
84,148
98,148
98,148
88,148
92,149
80,149
89,149
93,149
89,149
81,150
87,150
92,150
76,150
80,150
87,151
99,151
99,151
87,151
93,151
88,152
76,152
79,152
81,152
88,152
84,153
78,153
75,153
76,153
88,153
77,154
90,154
92,154
93,154
95,154
91,155
92,155
79,155
77,155
82,155
80,156
80,156
77,156
92,156
93,156
86,157
76,157
78,157
80,157
88,157
96,158
98,158
75,158
97,158
86,158
